"","","cl_lum","cl_den"
"1160",1.731,4,2
"1161",1.261,4,4
"1162",1.8,4,3
"1163",1.92,4,2
"1164",2.385,4,2
"1165",2.321,4,2
"1166",1.672,2,2
"1167",2.198,2,2
"1168",1.183,2,4
"1169",1.611,2,4
"1170",1.882,4,3
"1171",2.44,5,3
"1172",2.563,4,1
"1173",2.381,2,2
"1174",2.423,4,4
"1175",1.649,5,5
"1176",1.59,1,3
"1177",1.07,4,2
"1178",1.054,3,4
"1179",1.637,3,3
"1180",1.881,3,2
"1181",1.292,3,4
"1182",1.689,4,3
"1183",0.7516,1,4
"1184",2.171,3,2
"1185",1.293,2,3
"1186",2.297,1,2
"1187",2.341,3,3
"1188",2.13,1,3
"1189",1.799,1,4
"1190",2.189,1,1
"1191",1.37,1,4
"1192",2.156,3,4
"1193",1.324,4,4
"1194",2.269,3,3
"1195",2.494,5,2
"1196",1.889,2,2
"1197",2.062,4,1
"1198",2.434,2,4
"1199",1.521,5,3
"1200",2.134,4,2
"1201",1.499,1,4
"1202",1.376,2,5
"1203",2.243,3,4
"1204",2.441,5,4
"1205",2.36,4,1
"1206",2.346,5,4
"1207",2.379,5,3
"1208",2.695,5,3
"1209",2.437,4,3
"1210",2.565,5,1
"1211",2.524,5,3
"1212",2.376,4,1
"1213",1.634,5,2
"1214",1.744,5,4
"1215",2.304,5,3
"1216",2.269,5,3
"1217",1.666,5,4
"1218",1.172,3,4
"1219",1.231,4,3
"1220",2.379,3,1
"1221",2.368,4,3
"1222",1.549,4,3
"1223",1.697,4,2
"1224",1.966,5,3
"1225",1.509,4,4
"1226",1.774,4,4
"1227",1.227,4,4
"1228",1.465,4,3
"1229",2.445,5,2
"1230",1.731,5,3
"1231",2.46,5,3
"1232",1.726,5,3
"1233",2.286,1,3
"1234",1.294,3,4
"1235",1.531,2,2
"1236",1.31,2,5
"1237",1.578,2,2
"1238",1.246,4,3
"1239",2.148,4,3
"1240",1.296,2,5
